ID,WR_L4,WR_MOST_L4,RD_L4,Sum_Effi,D64_W33,D64_W50,D64_W66,D128_W33,D128_W50,D128_W66,D256_W33,D256_W50,D256_W66
246,52,52,29,646.64,50.15,49.58,48.38,82.05,78.71,76.92,89.14,85.9,85.81
247,52,52,31,598.26,50.15,49.58,0.0,82.05,78.71,76.92,89.14,85.9,85.81
248,52,52,33,646.64,50.15,49.58,48.38,82.05,78.71,76.92,89.14,85.9,85.81
249,52,56,19,634.31,46.32,47.4,47.44,78.73,77.85,75.75,89.61,86.85,84.36
250,52,56,21,638.78,48.09,47.99,48.24,80.26,77.78,75.9,89.62,86.63,84.27
251,52,56,23,640.72,49.23,49.03,48.77,80.42,78.91,76.31,87.94,86.5,83.61
252,52,56,25,641.97,49.22,49.64,48.21,81.29,78.8,76.17,88.44,86.25,83.95
253,52,56,27,646.47,50.37,49.94,48.83,81.52,78.79,76.48,89.53,86.15,84.86
254,52,56,29,649.35,51.41,49.59,48.63,82.03,79.25,76.85,88.87,86.47,86.25
255,52,56,31,649.35,51.41,49.59,48.63,82.03,79.25,76.85,88.87,86.47,86.25
256,52,56,33,648.53,51.41,49.59,48.63,82.03,79.25,76.85,88.87,86.47,85.43
257,52,60,19,641.75,47.96,48.57,48.61,79.49,78.1,75.8,90.07,88.06,85.09
258,52,60,21,644.64,48.93,49.05,48.7,80.63,79.09,76.39,88.98,87.43,85.44
259,52,60,23,647.2,49.47,49.91,49.06,80.98,79.42,76.6,89.66,87.09,85.01
260,52,60,25,646.07,49.94,49.84,49.44,81.74,79.21,77.05,87.93,87.04,83.88
261,52,60,27,647.74,49.61,49.79,49.78,81.46,79.17,77.23,88.88,86.91,84.91
262,52,60,29,652.7,51.36,50.25,49.81,81.88,79.46,77.15,88.94,87.26,86.59
263,52,60,31,652.7,51.36,50.25,49.81,81.88,79.46,77.15,88.94,87.26,86.59
264,52,60,33,563.76,51.36,50.25,49.81,81.88,79.46,77.15,0.0,87.26,86.59
265,52,64,19,644.52,48.01,49.33,49.18,79.33,78.2,76.85,89.87,88.03,85.72
266,52,64,21,646.18,49.13,48.99,49.82,79.53,78.63,76.96,89.02,88.04,86.06
267,52,64,23,649.92,49.81,49.4,49.5,81.81,79.56,77.81,89.23,87.45,85.35
268,52,64,25,599.54,0.0,49.78,50.14,80.8,78.97,77.52,88.43,88.23,85.67
269,52,64,27,604.01,50.49,49.95,0.0,82.15,79.93,77.81,89.4,88.12,86.16
270,52,64,29,604.01,50.35,50.39,0.0,82.49,79.33,77.82,90.28,87.71,85.64
271,52,64,31,563.39,50.35,50.39,49.66,82.49,79.33,77.82,0.0,87.71,85.64
272,52,64,33,653.67,50.35,50.39,49.66,82.49,79.33,77.82,90.28,87.71,85.64
273,52,68,19,645.15,48.08,49.04,48.87,78.36,78.85,77.72,89.07,88.76,86.4
274,52,68,21,647.63,47.63,49.39,49.37,80.63,79.3,77.56,89.13,88.4,86.22
275,52,68,23,562.62,49.43,49.42,49.67,81.07,79.63,78.32,89.49,0.0,85.59
276,52,68,25,603.74,50.12,50.66,0.0,80.65,80.17,78.2,89.76,88.8,85.38
277,52,68,27,653.07,50.58,50.2,49.48,81.21,79.79,78.4,90.08,87.45,85.88
278,52,68,29,652.59,50.29,50.02,49.73,80.41,79.64,78.02,90.28,87.25,86.95
279,52,68,31,652.59,50.29,50.02,49.73,80.41,79.64,78.02,90.28,87.25,86.95
280,52,68,33,652.59,50.29,50.02,49.73,80.41,79.64,78.02,90.28,87.25,86.95
281,54,56,19,635.08,47.19,47.3,47.44,78.73,77.85,75.75,89.61,86.85,84.36
282,54,56,21,640.45,48.09,48.85,48.24,80.26,78.59,75.9,89.62,86.63,84.27
283,54,56,23,640.86,49.23,48.9,48.77,80.42,79.18,76.31,87.94,86.5,83.61
